"order_id","order_date","order_year","order_month","order_day","order_quarter","order_week","order_day_week","ship_date","ship_mode","customer_id","customer_name","segment_name","product_id","product_name","category_name","subcat_name","postal_code","country_name","state_name","city_name","region_name","manager_name","sales","quantity","discount","profit","status_order"
CA-2019-130526,2019-11-26,2019,11,26,4,48,2,2019-11-29,First Class,GT-14755,Guy Thornton,Consumer,OFF-BI-10001524,GBC Premium Transparent Covers with Diagonal Lined Pattern,Office Supplies,Binders,61107,United States,Illinois,Rockford,Central,Kelly Williams,33.5680,8,0.80,-53.7088000000000000,No
US-2019-164147,2019-02-02,2019,2,2,1,5,6,2019-02-05,First Class,DW-13585,Dorothy Wardle,Corporate,OFF-PA-10002377,Xerox 1916,Office Supplies,Paper,43229,United States,Ohio,Columbus,East,Chuck Magee,78.3040,2,0.20,29.3640000000000000,No
CA-2018-162733,2018-05-11,2018,5,11,2,19,5,2018-05-12,First Class,TT-21070,Ted Trevino,Consumer,OFF-PA-10002751,Xerox 1920,Office Supplies,Paper,90045,United States,California,Los Angeles,West,Anna Andreadi,5.9800,1,0.00,2.6910000000000000,No
CA-2016-162089,2016-03-30,2016,3,30,1,13,3,2016-04-01,First Class,MP-17470,Mark Packer,Home Office,OFF-EN-10002230,Airmail Envelopes,Office Supplies,Envelopes,78521,United States,Texas,Brownsville,Central,Kelly Williams,335.7200,5,0.20,113.3055000000000000,No
CA-2016-162089,2016-03-30,2016,3,30,1,13,3,2016-04-01,First Class,MP-17470,Mark Packer,Home Office,TEC-PH-10001819,Innergie mMini Combo Duo USB Travel Charging Kit,Technology,Phones,78521,United States,Texas,Brownsville,Central,Kelly Williams,251.9440,7,0.20,88.1804000000000000,No
CA-2016-162089,2016-03-30,2016,3,30,1,13,3,2016-04-01,First Class,MP-17470,Mark Packer,Home Office,FUR-CH-10002304,Global Stack Chair without Arms. Black,Furniture,Chairs,78521,United States,Texas,Brownsville,Central,Kelly Williams,127.3020,7,0.30,-9.0930000000000000,No
CA-2016-152233,2016-10-05,2016,10,5,4,40,3,2016-10-06,First Class,KH-16510,Keith Herrera,Consumer,TEC-AC-10002800,Plantronics Audio 478 Stereo USB Headset,Technology,Accessories,91767,United States,California,Pomona,West,Anna Andreadi,99.9800,2,0.00,34.9930000000000000,No
CA-2017-101154,2017-09-18,2017,9,18,3,38,1,2017-09-21,First Class,CM-12190,Charlotte Melton,Consumer,OFF-ST-10004186,"Stur-D-Stor Shelving. Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,92105,United States,California,San Diego,West,Anna Andreadi,443.9200,4,0.00,8.8784000000000000,No
CA-2016-125682,2016-11-22,2016,11,22,4,47,2,2016-11-25,First Class,RB-19645,Robert Barroso,Corporate,OFF-PA-10001752,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper,30318,United States,Georgia,Atlanta,South,Cassandra Brandow,9.9600,2,0.00,4.8804000000000000,No
CA-2016-103366,2016-01-15,2016,1,15,1,2,5,2016-01-17,First Class,EH-13990,Erica Hackney,Consumer,TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories,30076,United States,Georgia,Roswell,South,Cassandra Brandow,149.9500,5,0.00,65.9780000000000000,No
CA-2018-111682,2018-06-17,2018,6,17,2,24,7,2018-06-18,First Class,TB-21055,Ted Butterfield,Consumer,OFF-AR-10001868,Prang Dustless Chalk Sticks,Office Supplies,Art,12180,United States,New York,Troy,East,Chuck Magee,1.6800,1,0.00,0.8400000000000000,Yes
CA-2018-161781,2018-09-29,2018,9,29,3,39,6,2018-09-30,First Class,CC-12100,Chad Cunningham,Home Office,OFF-AR-10000255,Newell 328,Office Supplies,Art,47201,United States,Indiana,Columbus,Central,Kelly Williams,40.8800,7,0.00,10.6288000000000000,No
CA-2017-153220,2017-11-12,2017,11,12,4,45,7,2017-11-14,First Class,YC-21895,Yoseph Carroll,Corporate,OFF-PA-10003016,"Adams ""While You Were Out"" Message Pads",Office Supplies,Paper,90032,United States,California,Los Angeles,West,Anna Andreadi,15.7000,5,0.00,7.0650000000000000,Yes
CA-2016-123064,2016-06-30,2016,6,30,2,26,4,2016-07-02,First Class,RA-19915,Russell Applegate,Consumer,OFF-AR-10004582,BIC Brite Liner Grip Highlighters,Office Supplies,Art,60653,United States,Illinois,Chicago,Central,Kelly Williams,5.2480,4,0.20,1.6400000000000000,No
US-2018-157490,2018-10-06,2018,10,6,4,40,6,2018-10-07,First Class,LB-16795,Laurel Beltran,Home Office,TEC-MA-10001695,Zebra GK420t Direct Thermal/Thermal Transfer Printer,Technology,Machines,81001,United States,Colorado,Pueblo,West,Anna Andreadi,703.7100,6,0.70,-938.2800000000000000,Yes
US-2018-157490,2018-10-06,2018,10,6,4,40,6,2018-10-07,First Class,LB-16795,Laurel Beltran,Home Office,OFF-BI-10002824,Recycled Easel Ring Binders,Office Supplies,Binders,81001,United States,Colorado,Pueblo,West,Anna Andreadi,17.9040,4,0.70,-14.9200000000000000,Yes
US-2018-157490,2018-10-06,2018,10,6,4,40,6,2018-10-07,First Class,LB-16795,Laurel Beltran,Home Office,OFF-BI-10002571,"Avery Framed View Binder. EZD Ring (Locking). Navy. 1 1/2""",Office Supplies,Binders,81001,United States,Colorado,Pueblo,West,Anna Andreadi,11.9760,4,0.70,-9.1816000000000000,Yes
US-2018-157490,2018-10-06,2018,10,6,4,40,6,2018-10-07,First Class,LB-16795,Laurel Beltran,Home Office,TEC-AC-10001553,Memorex 25GB 6X Branded Blu-Ray Recordable Disc. 15/Pack,Technology,Accessories,81001,United States,Colorado,Pueblo,West,Anna Andreadi,67.9600,5,0.20,0.8495000000000000,Yes
CA-2019-156237,2019-09-14,2019,9,14,3,37,6,2019-09-15,First Class,PS-18760,Pamela Stobb,Consumer,OFF-BI-10000301,GBC Instant Report Kit,Office Supplies,Binders,19140,United States,Pennsylvania,Philadelphia,East,Chuck Magee,3.8820,2,0.70,-2.5880000000000000,No
